x, y
-0.7816046689017793, -0.01471286570888175
-0.7829043454608885, -1.768731136061814
-0.7790963759246448, -2.4821602478973004
-0.7795020074622012, -4.254529357318203
-0.7532270176621196, -4.254529357318203
-0.7206192089593719, -4.224910459173408
-0.6613059443350541, -4.054279850295787
-0.5925720942058551, -3.8211919996780557
-0.5161560794470167, -3.578574590526782
-0.42858933650269937, -3.3187653426697254
-0.3383570148830115, -3.05148698136746
-0.22548383091196156, -2.69226125799831
-0.09459729539555006, -2.2460461185560794
0.031049142911204308, -1.8285484325324965
0.15571875424996584, -1.4285001408507387
0.27097605827849014, -1.0804780876494027
0.3766141001306771, -0.7209304197352004
0.5374180310905337, -0.1833474184071795
0.6304732170838283, 0.11303472976779716
0.6647532211046656, 0.10176667069097345
0.6951755864213953, 0.06216749164956337
0.7338181990196249, -0.017481588796329994
0.7587521212873773, -0.05289548875206229
0.7843151863480742, -0.032677371322789917
0.8103997776713436, 0.013038754074610637
0.8590010584263148, 0.05540665620346896
0.88683234881947, 0.03789287295263355
0.9146470828233371, -0.007243752263672576
0.9451853428650829, -0.028105758783049772
0.9849951809081177, -0.01439092116382934
1.0213281772006688, 0.032226648959716275
1.05945754173097, 0.049547265483520064
1.099126650465057, 0.020507867519819367
1.1304927299712033, -0.00022536118153659856
1.157628652014262, -0.012652420620548277
1.1881503556667194, -0.008789086079922903
