x, y
-0.8456130916987669, 0.17563403214085316
-0.8464238256508363, -0.8254054402119415
-0.8470111941263152, -2.2878786485019633
-0.8470111941263152, -2.2878786485019633
-0.8431974354334169, -4.033033143529974
-0.8273550321863448, -4.0578884912932685
-0.8116532664615703, -4.053316652715046
-0.7847584085209793, -3.981261901038552
-0.7494666632196685, -3.8880865429725224
-0.6804798221348982, -3.6127459547967504
-0.6184007652335772, -3.378809482195586
-0.5492319226493627, -3.05723537149638
-0.49295209534396733, -2.8003109218188005
-0.42944184483338077, -2.487816096183388
-0.3472764406297666, -2.1009484035360453
-0.2524867506010703, -1.671453145553726
-0.17233163568677123, -1.307766606260751
-0.11844264626043788, -1.0540617612157224
-0.059672707530829094, -0.8552833712020163
-0.004244978154649526, -0.7053785795104357
0.05783407874667157, -0.5555381799115064
0.13999948295028575, -0.44819656146225206
0.23231560714562716, -0.34233596114397136
0.3215956154184225, -0.30659834972265365
0.4570378221866034, -0.28882613215097175
0.5822548538041934, -0.28283766753442663
0.6810651224115198, -0.2789741419753651
0.7798340270417001, -0.27762190802969355
0.8818293218892996, -0.27762190802969355
0.9774049274837777, -0.27762190802969355
1.0814436028024095, -0.26429274485093224
1.1980734727644062, -0.26815627040999335
